keyword,cluster,intent,funnel,target_page,volume_band_directional,difficulty_directional,priority,serp_opportunity,secondary_terms,recommended_page_action,status
billboard advertising Lebanon,Core marketplace,Commercial,Bottom,/,Medium,High,P1,Organic results and local pack,"outdoor advertising Lebanon; OOH advertising Lebanon","Keep homepage focused on verified nationwide inventory and campaign discovery",Implemented
outdoor advertising Lebanon,Core marketplace,Commercial,Bottom,/,Medium,High,P1,Local pack and list results,"out of home advertising Lebanon; outdoor media Lebanon","Strengthen organization credibility and nationwide coverage copy",Implemented
billboards Lebanon,Inventory,Transactional,Bottom,/billboards,Medium,High,P1,Image results and local pack,"billboard locations Lebanon; available billboards Lebanon","Expose crawlable inventory cards and stable canonical",Implemented
billboard rental Beirut,Local inventory,Transactional,Bottom,/billboards,Low-Medium,Medium,P1,Local pack,"rent billboard Beirut; billboard booking Beirut","Create a dedicated Beirut location landing page when inventory density supports it",Planned
digital billboards Lebanon,Formats,Transactional,Bottom,/billboards?type=digital,Low-Medium,Medium,P1,Image and video results,"LED billboard Lebanon; digital billboard Beirut","Maintain curated digital filter canonical and digital specifications",Implemented
static billboards Lebanon,Formats,Transactional,Bottom,/billboards?type=static,Low,Low-Medium,P2,Image results,"outdoor static billboard Lebanon; printed billboard Beirut","Maintain curated static filter canonical",Implemented
billboard advertising Beirut,Local inventory,Commercial,Bottom,/billboards,Low-Medium,Medium,P1,Local pack and images,"Beirut outdoor advertising; billboard locations Beirut","Create /billboards/beirut after slug architecture is introduced",Planned
billboard cost Lebanon,Pricing,Commercial investigation,Middle,/blog/billboard-advertising-lebanon-guide,Low-Medium,Medium,P1,Featured snippet and PAA,"billboard price Beirut; outdoor advertising cost Lebanon","Publish a transparent pricing methodology and cost factors",Planned
digital billboard price Lebanon,Pricing,Commercial investigation,Middle,/billboards?type=digital,Low,Low-Medium,P2,PAA,"LED screen advertising cost Beirut","Add pricing FAQ and explain rotation versus exclusivity",Planned
outdoor advertising companies Lebanon,Comparison,Commercial investigation,Middle,/about,Medium,High,P2,List results and local pack,"billboard companies Lebanon; OOH agencies Lebanon","Publish buyer guide without unsupported superiority claims",Planned
OOH media planning Lebanon,Planning,Commercial,Middle,/solutions/campaign-planning,Low,Medium,P1,Featured snippet,"outdoor campaign planning Lebanon; billboard media plan","Expand with planning framework and downloadable brief",Implemented
billboard advertising for brands,Solutions,Commercial,Middle,/solutions/brands,Low,Medium,P2,PAA,"brand awareness billboard campaign; outdoor media for brands","Add sector examples and measurable objectives",Implemented
billboard advertising for agencies,Solutions,Commercial,Middle,/solutions/agencies,Low,Medium,P2,PAA,"agency OOH planning; multi-client billboard booking","Add workflow screenshots and proposal use case",Implemented
OOH audience targeting,Solutions,Informational,Middle,/solutions/audience-targeting,Low-Medium,High,P2,Featured snippet,"billboard location targeting; outdoor audience data","Explain movement-based targeting and data limitations",Implemented
how to advertise on billboards in Lebanon,Education,Informational,Top,/blog/billboard-advertising-lebanon-guide,Low,Low-Medium,P1,Featured snippet and PAA,"book a billboard Lebanon; billboard campaign steps","Answer process in numbered steps and link to inventory",Implemented
digital vs static billboard,Format education,Informational,Top,/blog/digital-vs-static-billboards,Medium,High,P1,Featured snippet and PAA,"static vs digital OOH; LED versus printed billboard","Use comparison table and decision framework",Implemented
